question,intent,response
are there elective courses in final year,courses,"Yes, students can choose domain-specific open electives and professional electives in their 3rd and 4th years."
what is the syllabus for computer science,courses,"The detailed semester-wise syllabus can be downloaded from the Academic section on our college website."
do you offer online certification courses,courses,"Yes, our college collaborates with NPTEL and Coursera to offer credit-eligible online certification courses."
what is the fee structure,fees,"The fee structure varies by course. B.Tech tuition fee is approximately $1,200 per semester. Detailed break-ups are available on our site."
how much is the tuition fee for btech,fees,"B.Tech tuition fee is approximately $1,200 per semester, excluding hostel and examination charges."
what is the mba fee structure,fees,"MBA tuition fee is approximately $1,500 per semester."
how can i pay my college fees,fees,"Fees can be paid online via Net Banking, UPI, or Credit/Debit Cards through the student ERP portal."
can i pay fees in installments,fees,"Yes, students can request payment in two installments per semester by applying to the Accounts Office."
is the fee refundable,fees,"Fee refunds follow university guidelines. A full refund minus administrative charges is provided if cancellation occurs before classes start."
what is the hostel fee,fees,"Hostel fees are approximately $600 per semester, which includes room accommodation and mess charges."
are there late fee penalties,fees,"Yes, a fine of $5 per day is levied if tuition fees are paid after the official due date."
how to get a fee receipt,fees,"You can download official digital receipts directly from the student ERP portal under the Finance section."
are scholarships available for fees,fees,"Yes, merit-based, economic-need, and category-based fee waivers are provided to qualifying students."
what is the exam fee per semester,fees,"The semester examination fee is $50, payable before downloading the examination hall ticket."
when are mid term exams scheduled,examinations,"Mid-term exams are held halfway through each semester, typically in October for odd semesters and March for even semesters."
when are final semester exams,examinations,"End-semester examinations are conducted in December (odd semesters) and May (even semesters)."
what is the passing percentage in exams,examinations,"Students must secure a minimum of 40% in theory and practical components separately to pass a course."
how can i view my exam results,examinations,"Results are published on the official student ERP portal. Log in with your roll number to view grade sheets."
how to apply for re-evaluation,examinations,"You can apply for paper re-evaluation online through the examination portal within 10 days of result publication."
what is the rule for backlogs,examinations,"Backlog examinations are held alongside regular semester exams or during supplementary sessions prior to the academic year."
how do i get my hall ticket or admit card,examinations,"Admit cards can be downloaded from the student portal 5 days before exams start, provided all dues are cleared."
what happens if i miss an exam due to illness,examinations,"If an exam is missed due to a medical emergency, submit a valid medical certificate to the Controller of Examinations within 3 days."
how to get duplicate mark sheet,examinations,"Submit a formal request letter at the examination cell along with an FIR copy (if lost) and the processing fee."
what is the attendance criteria for writing exams,examinations,"A minimum of 75% attendance in both lectures and practicals is mandatory to appear for semester exams."
when is the exam timetable released,examinations,"Exam timetables are published on the notice board and website 15 days before the commencement of examinations."
how does the college help with internships,internships,"The Training & Placement Cell facilitates campus drives, industry linkages, and summer internship opportunities."
is internship compulsory for students,internships,"Yes, a 6 to 8 week summer internship is mandatory for 3rd-year engineering and management students."
when do summer internships start,internships,"Summer internships commence in June following the completion of even-semester final examinations."
do companies offer paid internships,internships,"Yes, many corporate partners offer paid stipends ranging from $200 to $800 per month."
how to apply for NOC for off campus internship,internships,"Submit your internship offer letter along with an application form to your Department Head (HOD) to issue an NOC."
where can i register for campus internships,internships,"You can register for upcoming internship drives through the T&P Cell portal."
can i do a remote or online internship,internships,"Yes, remote or virtual internships are permitted subject to prior approval from your departmental coordinator."
what is the average stipend for internships,internships,"The average stipend offered to our students is approximately $300 per month."
what is the average placement package,placements,"The average placement package is around $6,500 per annum, with top packages reaching up to $28,000 per annum."
which companies visit for placement drives,placements,"Top recruiters include TCS, Infosys, Wipro, Accenture, Cognizant, Amazon, and Microsoft."
what is the highest placement package offered,placements,"The highest domestic salary package offered during the last recruitment drive was $28,000 per annum."
what is the eligibility criteria for campus placement,placements,"Students must maintain a minimum CGPA of 6.0 with no active backlogs to participate in placement drives."
does the college provide placement training,placements,"Yes, the placement cell conducts aptitude training, coding bootcamps, soft skills workshops, and mock interviews."
how many students got placed last year,placements,"Over 85% of eligible students were successfully placed across reputed organizations during the last placement season."
how to register for campus placement,placements,"Final-year students must register on the Placement Cell portal and upload their updated resumes."
are off campus placements allowed,placements,"Yes, students can participate in off-campus hiring drives and must inform the T&P cell upon receiving an offer letter."
tell me about the college library,facilities,"Our central library houses over 50,000 books, subscriptions to digital journals, quiet study rooms, and 24/7 e-library access."
is hostel facility available,facilities,"Yes, separate air-conditioned and non-AC hostels are available for boys and girls with 24/7 security and Wi-Fi."
what sports facilities are available,facilities,"We have a dedicated sports complex featuring basketball courts, a football ground, cricket nets, badminton courts, and a track."
is there a gym on campus,facilities,"Yes, a modern indoor gymnasium with professional equipment is available for students and faculty."
what medical facilities exist on campus,facilities,"A campus health center with a qualified resident doctor, nursing staff, and a 24/7 emergency ambulance service is operational."
is wifi available across campus,facilities,"Yes, high-speed Wi-Fi coverage is available across all academic blocks, laboratories, libraries, and hostels."
what are the canteen hours,facilities,"The college canteen operates from 8:00 AM to 8:00 PM, offering hygienic food, beverages, and snacks."
are there transport or bus facilities,facilities,"Yes, the college operates a fleet of buses covering all major routes across the city."
is there an ATM on campus,facilities,"Yes, 24/7 ATM facilities from major national banks are situated near the main administration building."
how to contact admission office,contact,"You can email admissions@college.edu or call our admission helpline at +1-800-555-0199."
what is the official email address,contact,"For general inquiries, email info@college.edu. For admissions, email admissions@college.edu."
what is the phone number of college,contact,"You can reach the main reception desk at +1-800-555-0100 or +1-800-555-0199."
where is the college campus located,contact,"The college campus is located at University Road, Education City, Tech Hub District."
what are the working hours of administrative office,contact,"The administrative office operates Monday through Saturday from 9:00 AM to 5:00 PM."
whom to contact for fee issues,contact,"For fee and payment-related queries, reach out to the Accounts Department at accounts@college.edu."
what is the campus address,contact,"The official address is: College of Engineering & Technology, University Road, Tech Hub District."
can i schedule a campus visit,contact,"Yes, you can schedule a guided campus tour by calling reception or submitting a request form on our website."
